점포명,주소,전화번호
동진슈퍼,경기도 시흥시 수인로3409번길 53(신천동) 1층,031-314-6037
드림마트,광주광역시 서구 운천로32번길 23(금호동) 금호시영아파트3단지상가,062-372-3030
365할인마트세움점,경상남도 창원시 의창구 우곡로101번길 30-7(명서동) 해담상가 102호,055-288-8283
센트럴마트,경상남도 창원시 진해구 냉천로 189(자은동) 센트럴빌리지 상가 201호,070-7098-7170
현대마트,경기도 수원시 권선구 세지로 97(세류동) 현대아파트 상가 101호 현대마트,031-232-1124
중앙할인마트,강원도 강릉시 금성로11번길 7(성남동) 중앙할인마트,
한우리마트,경기도 시흥시 신천로44번길 33(신천동) 남영빌라 가동 101호,031-311-3173
한아름슈퍼,서울특별시 관악구 양지길 95(신림동) 한아름슈퍼,02-826-7849
오네뜨썬마트,충청북도 제천시 신죽하로 83-20(고암동) 오네뜨아파트상가 오네뜨썬마트,043-648-3315
상록마트,대전광역시 동구 현암로48번길 36(삼성동) 1층,042-362-1212
현대슈퍼,광주광역시 동구 중앙로 255(계림동) 현대정보,062-236-1230
리얼푸드,서울특별시 양천구 목동중앙북로 38(목동) 목동롯데캐슬위너아파트 상가동 지층123호,02-2644-6002
산호유통,경상남도 창원시 마산합포구 합포남2길 38(산호동) 대양상가빌라 a동101호 산호유통,
제이엠편의점,경상북도 영덕군 강구면 영덕대게로 558 1층,
매지마트,강원도 원주시 흥업면 세동길 10-15 1층,033-762-9739
행복한마트,"경기도 시흥시 마유로 446번길 45, 101호(정왕동, 외1필지) (구주소: 정왕본동 2314-12번지 외1필지 )",031-497-1033
동작마트,서울특별시 동작구 양녕로23길 40(상도동) 1층 동작마트,
월할인마트,경상북도 포항시 북구 삼호로 465(환호동) 월할인마트,054-275-6185
용마탑마트,경상남도 창원시 마산합포구 허당로 47(산호동) 1층,055-294-5000
강저마트,"충청북도 제천시 청풍호로7길 76(영천동) 제천 강저B2블록 단지내상가 101호, 102호",043-653-6538
와우마트,전라북도 정읍시 칠보면 칠보1길 2 와우마트,063-537-5599
사랑슈퍼,경기도 시흥시 매화1로47번길 1(매화동) 사랑슈퍼,031-315-2082
대덕슈퍼,서울특별시 강북구 월계로3길 42(미아동),02-988-4433
덕현마트,경기도 안양시 동안구 경수대로544번길 39(호계동) 1,031-453-0221
곰티슈퍼,경상남도 창원시 마산회원구 내서읍 송평로 255 1F 곰티슈퍼,055-232-1431
우미마트,광주광역시 북구 북문대로201번길 30(동림동) 지하 우미마트,062-513-3878
경열슈퍼,"경기도 안양시 만안구 박달로479번길 105(박달동, 신한아파트상가)",031-449-2281
석수할인마트,경기도 안양시 만안구 석천로198번길 41 1층 석수할인마트,031-472-0588
월DC마트장성점,포항시 북구 장량로32번길 41 (장성동),054-274-7445
착한정육마트,경기도 수원시 권선구 세화로141번길 31-1(서둔동) 착한정육마트,031-292-0040
에이비씨마켓,충청북도 청주시 서원구 사직대로81번길 6(사창동) 1층,043-266-4183
365할인마트,경기도 화성시 남양읍 주석로 58 365할인마트,031-355-0633
미들가게,경기도 안양시 동안구 임곡로 95(비산동) 그린빌주공아파트 나상가 101호,031-464-2007
우진슈퍼,경상남도 창원시 성산구 창원대로 716(내동) 내동상가 4호 우진슈퍼,055-282-2452
그랜드마트,경기도 남양주시 화도읍 경춘로 2102-26 상가동 그랜드마트,
주교휴게소,충청남도 보령시 주교면 배다리길 179 주교휴게소,041-932-4768
라운지,경기도 광주시 곤지암읍 곤지암천로 326 101호,031-797-5300
코사마트 알뜰점,경기도 성남시 수정구 양지로 43(양지동) 1층,031-734-8366
동광슈퍼,서울특별시 동작구 성대로1가길 13(상도동) 동광수퍼,02-822-6979
이안할인마트,경상남도 김해시 해반천로278번길 58(삼계동) 58,
학생사,경기도 고양시 덕양구 지도로54번길 24(토당동) 1층,031-970-1076
동네슈퍼,충청남도 천안시 동남구 충무로 455-7(원성동) 1층,041-551-7364
뉴월드마트,경상남도 창원시 의창구 봉곡로23번길 35(봉곡동) 뉴월드 할인마트,055-238-4051
아람마트,광주광역시 서구 마재로 59(금호동) 마재마을 주은아파트 상가동 102호,
샘골소망슈퍼,전라북도 정읍시 정읍사로 506(시기동) 샘골소망슈퍼,063-534-7722
진우마트,강원도 원주시 현충로 280-4(태장동) 1층,033-748-9076
백운마트,강원도 원주시 태장공단길 10(태장동) 백운3차 상가 2-8호,033-734-6367
예가탑마트,경상남도 김해시 장유로 362-1 장유쌍용예가2차 상가 103호(신문동),055-323-1757
한아름슈퍼,경상남도 김해시 활천로57번길 6(삼정동) 6,
외동슈퍼맨,"경상남도 창원시 성산구 창원대로780번길 32(외동) 1층 101,102호 외동 월드메르디앙상가",055-266-3334
빅세일마트,부산광역시 기장군 기장읍 차성로215번길 19 1층 빅세일마트,051-722-2922
산수화마트,"충청북도 음성군 대소면 대금로105번길 7 101호, 102호(대풍리 582-7) 산수화마트",043-535-2894
장터D.C마트,광주광역시 북구 북문대로53 // 2-101호 1층,062-381-8949
종로마트,광주광역시 서구 죽봉대로119번길 14(광천동) 1층,062-361-6002
고마트,서울특별시 동대문구 서울시립대로29길 78(전농동) 1층,02-2212-0588
위너마트,경상북도 안동시 경동로 404-25(태화동) 1층,054-843-2969
에스마트,서울특별시 동대문구 외대역동로34길 9(이문동) 1층,02-2456-2465
삼성마트,강원도 원주시 남산로 103(일산동) 우보삼성아파트 단지내상가 삼성마트,033-745-4631
제이마트,전라남도 목포시 원산주택로3번길 9-1(산정동) 1층 제이마트,
삼화마트,서울특별시 금천구 독산로54길 115(독산동) 1층,02-805-3863
신세계마트,경기도 수원시 권선구 세지로82번길 54(권선동) .,
우미5차마트,전라남도 목포시 평화로20번길 11(상동) 우미5차상가101,061-282-8088
월드할인마트세류2점,경기도 수원시 권선구 장다리로 34(세류동) 명성빌딩1층,031-237-4707
아이지에이화성수촌,경기도 화성시 장안면 수촌큰말길 4 1층 상가,
바나나마트,강원도 춘천시 공지로 108-1(석사동) 1층,
월드할인마트,경기도 수원시 팔달구 매산로116번길 76(매교동) 월드할인마트,031-237-9275
월드할인마트연무점,경기도 수원시 장안구 월드컵로429번길 16(연무동) 1층 월드할인마트,031-254-6688
현대홈마트,전라북도 전주시 덕진구 사근1길 11(송천동2가) 현대3차아파트상가105호,063-251-4163
나들e마트,경기도 수원시 장안구 만석로 246(송죽동) 나들e마트,031-256-5949
프라임할인마트,경기도 수원시 영통구 센트럴타운로22번길 36(이의동) 60단지 상가 102호,031-211-3865
아이지에이마트화성비봉점,경기도 화성시 비봉면 푸른들판로 1411 1층 IGA편의점,
선창점,경기도 화성시 서신면 해안길 432 101,031-357-7686
고은농장수퍼,제주도특별자치도 서귀포시 표선면 가시로 437 1층,
쿨마트,경기도 수원시 권선구 덕영대로1105번길 46(세류동) 쿨마트,031-235-4009
월드할인마트(화서동),경기도 수원시 팔달구 팔달로130번길8 월드할인마트,031-206-5949
동네마트,경기도 수원시 장안구 창훈로39번길 12-9(연무동) 동네마트,031-245-7965
수송동마트,"서울특별시 종로구 종로5길 68, 지층(수송동) 코리안리재보험빌딩 지하 구내식당 내",02-732-7447
신세계유통,경기도 수원시 권선구 정조로575번길 17(세류동) 신세계 유통,031-233-2476
현유통(홈할인마트),경기도 수원시 팔달구 장안로5번길 52(화서동) 홈할인마트,031-251-7515
동방슈퍼,서울특별시 관악구 서원5길 19(신림동) 101 동방슈퍼,02-882-6989
팝스토어,광주광역시 남구 서문대로 614(진월동) 신흥상가 1호,062-673-8121
호암마트,충청북도 충주시 계명대로 244(연수동) 호암마트,043-856-6900
송이할인마트,경기도 수원시 권선구 세화로151번길 32(서둔동) 1층,031-291-4002
대광마트,광주광역시 북구 양일1로 52-1(연제동) 상가107동201호,
다농마트구운점,경기도 수원시 권선구 일월천로16번길 39(구운동) 상가-101,031-295-1115
행복마트,"경상북도 예천군 호명면 행복4길 25 트레젠웰가 1층 120호, 121호",
탑파워할인마트,경상남도 김해시 가야로515번길 10(동상동) 10,055-333-0708
경북상회,경상북도안동시길안면천지길62-2 경북상회,054-822-2075
빅플러스마트,경상남도 창원시 마산회원구 구암동4길 11(구암동) 1층,055-252-2924
신우홈마트,경기도 수원시 권선구 권중로 82(권선동) 신우상가 105호~106호,031-222-2993
성일마트,경기도 수원시 권선구 여기산로 42(서둔동) 상가동 1층3호,031-292-4329
청솔마트,"경상남도 창원시 성산구 안민로101번길 28(안민동) B동 101,103동",055-248-3636
다원마트,경기도 부천시 경인로182번길 27(심곡본동) 1층,032-613-2234
나들가게칠산점,경상남도 김해시 칠산로413번길 16-7(화목동) 16-7,055-326-0098
심곡마트,"경기도 부천시 부천로54번길 10 1층(심곡동, 영도빌딩)",
파도슈퍼,강원도 강릉시 창해로350번길 15(강문동) 1층,033-651-0978
e그린마트,"경상남도 김해시 삼문로 90(삼문동) 제상가동 104호(삼문동,갑오마을부영그린타운1차)",055-331-3711
서원탑할인마트,"경상남도 김해시 삼안로111번길 10(안동) 한일아파트상가동101,102호",055-331-0095
좋은식품,강원도 원주시 중앙로 14(인동) 1층,033-764-2904
미래할인마트,인천광역시 서구 서달로207번길 10-1(가정동) 지층,032-574-5715
제이하우스,경기도 화성시 서신면 해안길 266-11 .,
봉황슈퍼,경상남도 김해시 김해대로2315번길 23(봉황동) 봉황슈퍼,
이화상회,경상남도 김해시 칠산로425번길 22-8(흥동) 이화마트,055-338-2246
후레쉬마트,경상남도 창원시 의창구 하남천서길37번길 1(도계동) 리코하이츠빌라,055-277-9467
행복플러스25편의점,경상북도 경산시 계양동687-9 경산시 장산로 236,
영진슈퍼,경기도 안양시 만안구 만안로159번길 12(안양동) 영진슈퍼,031-442-1903
미세스진슈퍼,충청남도 보령시 지장골길 156(죽정동) 1층,041-935-7492
영할인마트,인천광역시 계양구 임학동로55번길 8-1(임학동) 영할인마트,
장산 스토아,부산광역시 해운대구 재반로226번길 15(반여동) 1층 장산스토아,
희망슈퍼,전라북도 전주시 완산구 산월1길 17(중화산동2가) 희망슈퍼,
녹원할인마트,경기도 시흥시 대골길 16-1(대야동) 녹원할인마트,
홈마트,대구광역시 달서구 학산남로 90 송현우방하이츠 201동301호 대구광역시 달서구 학산남로 90 송현우방하이츠 201동301호,053-644-2432
드림마트&인쇄,충청남도 천안시 서북구 두정중8길 10(두정동) 우민빌딩101호,041-554-5546
형제후레쉬마트,강원도 원주시 신림면 신림황둔로 2 신림면 693-38,033-763-5107
경남스(S)마트,경상남도 창원시 마산회원구 양덕동16길 22(양덕동) 경남아파트상가 101호 경남스마트,055-297-7065
큐할인마트,서울특별시 도봉구 방학로4길 72(방학동) 서울도봉구방학1동701-4,02-3492-1406
토끼마트,울산광역시 남구 돋질로114번길 4(달동) .,052-946-7773
부영훼밀리마트,경상남도 김해시 삼계로 225(삼계동) 상가 101호,055-339-2002
광덕공판장,충청남도 천안시 동남구 광덕면 신흥리4길 49 1층,041-567-0001
화니마트,광주광역시 남구 백양로7번길 2(백운동) 1층,062-676-7421
베스트25시 편의점,충청북도 충주시 대가미8길 24-4(교현동) .,043-845-8244
세종편의점,광주광역시 북구 중흥로140번길 13(중흥동) 세종편의점,062-531-1171
삼삼슈퍼,전라남도 무안군 현경면 성재길 55 삼삼주유소 내,061-453-5616
한양슈퍼,"서울특별시 금천구 시흥대로 126길 26 (독산동, 1층)",02-857-1165
다농할인마트,경기도 수원시 영통구 매봉로27번길 18(매탄동) 다농할인마트,
현대마트,서울특별시 도봉구 마들로 620(방학동) 대상타운현대아파트상가 103호,02-955-8245
완도홈마트,전라남도 완도군 완도읍 개포로 188 군내리1257,061-554-9700
옥주드림마트,전라남도 진도군 진도읍 서문길 40 상가101호,061-542-1124
굿마트,충청북도 청주시 흥덕구 죽천로 83(복대동) 1층,043-232-7282
창덕슈퍼,전라북도 정읍시 상사1길 17(상동) 창덕슈퍼,063-535-1301
한화세일마트,경기도 시흥시 호현로49번안길 13(대야동) 1층,031-312-1178
웨이스토리(waystory),전라남도 목포시 영산로 846(대양동) 1층,
한별마트,전라북도 전주시 덕진구 견훤로 215 인후동 1가,070-8833-3559
송현홈마트,경상북도 안동시 경북대로 465(송현동) 상가동 1호 송현주공아파트,054-853-7892
어방할인마트,경상남도 김해시 인제로169번길 16(어방동) 어방할인마트,055-324-0730
한아름마트,경상남도 진주시 돗골로 118(상대동) 102호,
코사마트 신안점,전라남도 목포시 항동 6-35 전남 목포시 항동 6,061-244-2201
다솜할인마트,강원도 춘천시 삭주로194번길 12(후평동) 다솜할인마트,033-264-9980
새한24시마트,전라남도 목포시 유동로16번길 2(해안동3가) 1층,061-244-9632
강변농축산물할인마트,전라북도 전주시 완산구 강변로 106-1(삼천동1가) 106동106호,063-226-5572
서울365 VC PLUS(남한산성점),경기도 하남시 학암로 13(학암동) 1층,070-8702-9114
e편한할인마트,경상북도 안동시 말구리1길 31(태화동) e편한할인마트,054-858-2850
계룡한아름유통,충청북도 충주시 연수서편2길 32(연수동) 계룡리슈빌2차상가 110호 111호 계룡한아름유통,043-845-4554
황금마트,부산광역시 기장군 일광면 일광로 74 1층102호,051-723-6279
동화마트,광주광역시 서구 금화로149번길 25(금호동) 모아아파트 상가동 1층 동화마트,
우리할인마트,경기도안양시만안구만안로21 경기도안양시만안구만안로21,031-466-5850
오일장,광주광역시 남구 봉선로 13(주월동) 1층,062-251-8800
삼성중앙슈퍼,경기도 안산시 단원구 적금로5길 14(고잔동) 삼성연립상가 106,
미니 샵앤샵,대전광역시 서구 복수동로 21-19(복수동) 상가동 1층 104호,042-583-1104
우리마트,경기도 용인시 수지구 신수로783번길 19(동천동) 베스트올동천,031-276-3900
구봉산장,강원도 영월군 무릉도원면 무릉법흥로 1230 1230,033-374-7177
철이네마트,경상남도 김해시 구산로5번길 3-16(구산동) 상가1층,
수협마트,전라남도 여수시 봉산2로 8(봉산동) 활어회센터 수산물종합판매장 내,061-641-1155
웅천마트,전라남도 여수시 웅천중앙로 8(웅천동) 1블럭 상가동 102~104호,061-681-0018
거장마트,강원도 원주시 판부면 서곡리 거장2차 아파트 201호 상가 강원도 원주시 판부면 남원로 221,033-734-9988
금호마트,전라남도 여수시 신월로 563(신월동) 지하층 8호,061-643-0237
코사마트 코오롱점,경기도 고양시 일산서구 강선로 137(일산동) 후곡마을 상가동 101호,031-915-7168
연희마트,서울특별시 금천구 독산로64길 43(독산동) 378-107 29/2,02-803-9277
시장마트,서울특별시 금천구 탑골로 16(시흥동) 248-11,02-891-4091
행복한유통,강원도 원주시 송림길 48-13(단구동) 행복한유통,033-761-6695
홈마트,경기도 용인시 처인구 모현면 문현로 141 1층,031-337-3005
커피나무편의점,경상남도 창녕군 도천면 일리새긴길 14 커피나무 편의점,055-536-3757
굿모닝디스카운트,강원도 강릉시 강릉대로203번안길 7(교동) 1층,033-646-5402
땡큐마트,강원도 원주시 치악로1524번길 6(단구동) 땡큐마트,033-763-1311
갑을마트,경상남도 김해시 장유로 171(부곡동) .,
상동현대아파트슈퍼,전라북도 정읍시 하신경9길 14-21(상동) 상가 슈퍼(상가동 지층 2호),063-535-1866
삼성할인마트,경기도 안양시 동안구 관악대로 135 121동 1202호,031-388-8880
자코편의점,경상남도 함안군 칠서면 삼칠로 1242 1층,055-586-1150
전망대마트,경기도 화성시 서신면 해안길 218 .,031-355-3379
초지마트,"경기도 안산시 단원구 신촌6길 29(초지동) 101, 102호",
해바라기,경상남도 창원시 의창구 의안로8번길 32(소답동) 1층 해바라기,
백송마트,경기도 부천시 상동로 23(상동) 백송마을엘지에스케이아파트상가101호,032-321-9868
에덴슈퍼,전라남도 여수시 율촌면 봉전길 3 1층,061-686-0649
우리마트,대구광역시 북구 칠곡중앙대로 526(읍내동) 칠곡시장 4호,053-321-3020
한우리마트,경기도 안산시 상록구 삼태기로 6-1(이동) 상록구 이동 690-9번지,031-415-8630
싱싱마트,경기도 안산시 단원구 신촌6길 10(초지동) 1층전체,031-485-9686
무지개마트,경기도 안산시 상록구 호동로 30(일동) 상가 101호,031-406-3327
동신할인마트,경상남도 창원시 마산 회원구 내서읍 중리 상곡로 116 동신1차상가 103호 경남 창원시 마산 회원구 내서읍 줄리 상곡로 116 동신1차상가 103호,055-231-9352
대흥마트,서울특별시 금천구 시흥대로36길 80(시흥동) 1층 대흥마트,02-6368-4191
플러스마트,"경기도 안산시 단원구 석수로5길 17(선부동), 1층(선부동) 1층",031-483-9533
굿모닝마트,전라남도 목포시 부흥로 117(옥암동) 굿모닝마트,061-284-6688
롯데할인마트,경기도 안양시 동안구 평촌대로180번길 32(평촌동) 지하층1호,031-383-0380
L&C편의점,충청북도 청주시 청원구 내덕로 61 1층,043-224-6789
다사랑마트3호점,경기도 시흥시 정왕천로449번길 26-1(정왕동) 102호,031-319-8666
서울365VCPlus,서울특별시 마포구 손기정로 25(아현동) 1층,02-362-6670
골목편의점,경기도 안산시 상록구 태마당로1길 21(부곡동) 103호,
공원슈퍼,경기도 안양시 만안구 예술공원로 208(안양동) 공원슈퍼,031-472-7688
해태마트,경기도 광명시 안재로14번길 18(하안동) 해태마트,02-831-5252
성원할인마트,경상북도 포항시 북구 장량로17번길 21(장성동) 성원할인마트,054-252-0122
미래할인마트,대구광역시 동구 신암남로23길 19-1(신암동) 19-1,053-952-0608
산성슈퍼,서울특별시 송파구 성내천로63길 6(거여동),02-403-9549
두산드림마트,충청북도 청주시 상당구 단재로95번길 40. 상가동 지하층 상가동 지하층 001호(영운동),
하나로할인마트,경기도 안양시 만안구 양화로 100(박달동) 1층,031-442-3746
석항마트,강원도 영월군 중동면 영월로 3823 석항마트,033-378-0689
뉴코스코유통,광주광역시 남구 봉주5길 34(주월동) 코스코마트,062-653-3315
건국슈퍼,경기도 안양시 만안구 박달로525번길 21(박달동) 1층,031-444-7732
빅마트,경상북도 구미시 봉곡동로4길 9(봉곡동) 1층상가,054-453-1404
스카이편의점,경기도 안양시 만안구 박달로 527(박달동) 스카이편의점,031-444-9629
한우마을정육마트2호점,강원도 춘천시 동내면 외솔길19번길 49-16 103,033-253-0403
가야할인마트,경상남도 김해시 분성로261번길 22(봉황동) 1층,055-334-3772
로얄수퍼,안양시만안구충훈로71번길37 b02호,031-473-3464
주)선경해운 목포시 지사,전라남도 목포시 고하대로597번길 7(죽교동) .,061-285-0789
우리슈퍼,경기도 안양시 만안구 예술공원로77번길 15(안양동) 101호,031-472-5510
에스스토어(S.STORE),서울특별시 동대문구 천호대로 289 1층 105호(답십리동),
공원마트,강원도 원주시 치악고교길 24-1(관설동) 공원마트,033-764-0507
코사할인마트부국점,경기도 시흥시 미산로143번길 12(미산동) 지하1층,031-312-2818
연희할인매장,경기도 시흥시 신천로79번길 11(신천동) 1층,031-313-3688
애플장유마트,경상남도 김해시 번화1로 79(대청동)4 102호(다인메디컬센터),055-311-5722
뜰애할인마트,경기도 평택시 비전4로 175(비전동) 상가동 106호,031-663-6100
등대할인마트,경기도 시흥시 오이도중앙로36번길 10-1(정왕동) 1층,031-431-3399
코사할인마트,경기도 시흥시 대야로13번길 2(대야동) 1층3호,031-318-8050
팜드리 마트,경상북도 구미시 산호대로23길 23(옥계동) 1층 팜드리마트,070-4192-2852
수연할인마트,경기도 화성시 매송면 매송로360번길 11 휴먼시아 아파트 상가 104호,031-294-2282
상남친절마트,경상남도 창원시 성산구 원이대로 776(상남동) 109호,055-267-2175
예스클럽,경상북도 안동시 경동로 844(용상동) 우정프라자 1층,054-821-2113
우미마트,경기도 남양주시 호평로 11(호평동) 우미린아파트상가동 1층 우미마트,070-7604-2337
SJ마트,"경기도 시흥시 역전로 427(정왕동) 세종1차상가아파트101,102호",031-434-2939
더드림마트,안동시 감나무5길 32 1층,
삼익파크,"경기도 남양주시 화도읍 비룡로116번길 40 상가동 101, 102, 103호(삼익파크힐스아파트)",
경인유통,경기도 용인시 기흥구 평촌1로 3(동백동) 1층,
편의점,경기도 용인시 처인구 백암면 백암로 101 편의점,031-321-0941
씨마트,서울특별시 도봉구 도봉로117길 11(쌍문동) 씨마트,02-998-2232
성원마트,"강원도 원주시 무실로 155(명륜동, 성원아파트) 성원아파트 상가",
새마을마트분식,경상북도 안동시 경동로 992(용상동) 경상북도 안동시,054-821-9004
나이스마트,경상북도 안동시 송하2길 110(송현동) 101호,054-843-6789
가나안마트,"경기도 동두천시 장고갯로 23(생연동, 브라운스톤 동두천) 103호",031-868-7300
셀마트,경상남도 김해시 가야로 518(동상동) .,
황금마트,서울특별시 동대문구 전농로27길 85-4(전농동) 전농1동 92,02-2243-6666
나누리,대구광역시 서구 국채보상로49길 21(평리동) 1층 점포,
우리마트,경기도 용인시 기흥구 강남동로 90(상하동) 강남마을 주공8단지 가 상가동 104호 우리마트,031-274-8282
용호마트,경상남도 창원시 의창구 외동반림로 256(용호동) 지하 용호마트,
우주더브러상회,경기도 안양시 만안구 만안로 163(안양동) 1층,031-466-5021
그린마트,경기도 시흥시 신현로 437(방산동) 1층,031-311-3006
남양일오삼마트,경기도 수원시 팔달구 중부대로 202-4(인계동) 1,031-235-6139
역전편의점,충청북도 청주시 흥덕구 강내면 청주역로 357 (정봉동),
서부할인마트,강원도 영월군 영월읍 서부시장길 15 2호,033-375-4533
터미널슈퍼,전라북도 김제시 만경읍 만경로 815 터미널슈퍼,063-544-3088
